Name,CIty,State,Rank
"Sant Longowal Institute of Engineering and Technology
More Details |  | ",Longowal,Punjab,76
"Sardar Vallabhbhai National Institute of Technology
More Details |  | ",SURAT,Gujarat,59
"Sathyabama Institute of Science and Technology
More Details |  | ",Chennai,Tamil Nadu,66
"Saveetha Institute of Medical and Technical Sciences
More Details |  | ",Chennai,Tamil Nadu,53
"Shanmugha Arts Science Technology and Research Academy
More Details |  | ",Thanjavur,Tamil Nadu,38
"Shoolini University of Biotechnology and Management Sciences
More Details |  | ",Solan,Himachal Pradesh,92
"Siddaganga Institute of Technology
More Details |  | ",Tumkur,Karnataka,100
"Siksha `O` Anusandhan
More Details |  | ",Bhubaneswar,Odisha,26
"SR University
More Details |  | ",Warangal,Telangana,98
"Sri Krishna College of Engineering and Technology
More Details |  | ",Coimbatore,Tamil Nadu,83
"Sri Sivasubramaniya Nadar College of Engineering
More Details |  | ",Kalavakkam,Tamil Nadu,46
"Thapar Institute of Engineering and Technology (Deemed-to-be-university)
More Details |  | ",Patiala,Punjab,29
"University of Hyderabad
More Details |  | ",Hyderabad,Telangana,70
"UPES
More Details |  | ",Dehradun,Uttarakhand,42
"Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology
More Details |  | ",Chennai,Tamil Nadu,86
"Vellore Institute of Technology
More Details |  | ",Vellore,Tamil Nadu,11
"Vignan's Foundation for Science, Technology and Research
More Details |  | ",Guntur,Andhra Pradesh,91
"Visvesvaraya National Institute of Technology Nagpur
More Details |  | ",Nagpur,Maharashtra,39
"Visvesvaraya Technological University
More Details |  | ",Belgaum,Karnataka,69
